Run,Reason for termination,Completion time
1,TASK COMPLETION,6.566666666666666
2,TASK COMPLETION,6.566666666666666
3,TASK COMPLETION,6.566666666666666
4,TASK COMPLETION,6.566666666666666
5,TASK COMPLETION,6.566666666666666
6,TASK COMPLETION,6.566666666666666
7,TASK COMPLETION,6.566666666666666
8,TASK COMPLETION,6.566666666666666
9,TASK COMPLETION,6.566666666666666
10,TASK COMPLETION,6.566666666666666
11,TASK COMPLETION,6.566666666666666
12,TASK COMPLETION,6.566666666666666
13,TASK COMPLETION,6.566666666666666
14,TASK COMPLETION,6.566666666666666
15,TASK COMPLETION,6.566666666666666
16,TASK COMPLETION,6.566666666666666
17,TASK COMPLETION,6.566666666666666
18,TASK COMPLETION,6.566666666666666
19,TASK COMPLETION,6.566666666666666
20,TASK COMPLETION,6.566666666666666
